5	3200
n001862	33	97
n001862	5	9
n001862	55	5
n001862	74	18
n001862	44	100
n001862	8	91
n001862	83	15
n001862	52	85
n001862	48	42
n001862	55	79
n008120	96	4
n008120	37	34
n008120	98	71
n008120	65	100
n008120	26	95
n008120	51	21
n008120	22	36
n008120	1	13
n008120	92	34
n008120	94	57
n002273	83	89
n002273	8	98
n002273	35	84
n002273	50	90
n002273	36	54
n002273	2	94
n002273	4	76
n002273	27	11
n002273	97	91
n002273	97	45
n006627	56	84
n006627	64	57
n006627	13	5
n006627	14	39
n006627	5	39
n006627	13	7
n006627	3	99
n006627	44	14
n006627	35	89
n006627	95	37
n004514	31	35
n004514	85	50
n004514	40	15
n004514	27	36
n004514	4	11
n004514	95	30
n004514	65	91
n004514	46	99
n004514	12	50
n004514	73	15
n005404	95	1
n005404	60	37
n005404	48	49
n005404	59	74
n005404	65	21
n005404	95	68
n005404	16	77
n005404	54	37
n005404	9	99
n005404	30	51
n008575	27	18
n008575	8	22
n008575	1	16
n008575	5	99
n008575	4	19
n008575	15	89
n008575	72	73
n008575	34	3
n008575	64	81
n008575	10	27
n003156	54	64
n003156	84	40
n003156	63	29
n003156	28	50
n003156	1	6
n003156	59	2
n003156	30	34
n003156	35	71
n003156	57	73
n003156	93	83
n007166	94	31
n007166	80	16
n007166	83	80
n007166	59	8
n007166	69	29
n007166	52	6
n007166	17	71
n007166	50	63
n007166	65	59
n007166	93	4
n008778	1	18
n008778	20	55
n008778	85	87
n008778	83	8
n008778	92	30
n008778	14	33
n008778	88	54
n008778	50	85
n008778	77	2
n008778	67	63
n001467	21	98
n001467	99	59
n001467	36	32
n001467	41	62
n001467	50	61
n001467	8	43
n001467	97	2
n001467	20	3
n001467	84	31
n001467	56	22
n005201	17	80
n005201	61	22
n005201	46	8
n005201	68	39
n005201	30	55
n005201	97	9
n005201	66	19
n005201	52	59
n005201	46	59
n005201	1	87
n000328	55	78
n000328	31	77
n000328	4	21
n000328	95	37
n000328	58	39
n000328	38	56
n000328	17	86
n000328	84	10
n000328	71	28
n000328	84	68
n005808	36	73
n005808	16	29
n005808	49	26
n005808	48	55
n005808	70	95
n005808	39	29
n005808	10	29
n005808	72	20
n005808	32	69
n005808	98	23
n005450	52	15
n005450	50	77
n005450	3	58
n005450	12	27
n005450	99	59
n005450	56	88
n005450	49	60
n005450	71	92
n005450	76	90
n005450	8	42
n003337	13	42
n003337	95	1
n003337	84	43
n003337	68	7
n003337	49	73
n003337	30	48
n003337	9	45
n003337	49	95
n003337	18	78
n003337	11	43
n001456	94	53
n001456	72	36
n001456	17	27
n001456	5	88
n001456	59	86
n001456	62	57
n001456	50	14
n001456	61	69
n001456	71	99
n001456	28	81
n004772	92	50
n004772	81	72
n004772	85	4
n004772	27	12
n004772	27	92
n004772	54	52
n004772	46	27
n004772	73	40
n004772	73	65
n004772	35	61
n008346	45	17
n008346	60	24
n008346	96	79
n008346	18	10
n008346	62	2
n008346	37	34
n008346	70	45
n008346	6	70
n008346	15	87
n008346	99	7
n002688	54	58
n002688	91	74
n002688	94	86
n002688	52	79
n002688	100	15
n002688	94	56
n002688	98	52
n002688	2	8
n002688	76	59
n002688	76	12
n008322	14	54
n008322	90	57
n008322	78	28
n008322	99	65
n008322	82	40
n008322	76	60
n008322	21	60
n008322	14	9
n008322	63	42
n008322	6	87
n008110	74	62
n008110	2	41
n008110	80	14
n008110	24	51
n008110	39	90
n008110	84	23
n008110	97	97
n008110	28	26
n008110	96	27
n008110	43	82
n008913	89	80
n008913	15	94
n008913	71	31
n008913	83	52
n008913	77	60
n008913	84	98
n008913	97	76
n008913	94	91
n008913	67	39
n008913	18	78
n008779	10	58
n008779	71	11
n008779	2	28
n008779	30	72
n008779	63	48
n008779	16	87
n008779	68	65
n008779	38	3
n008779	48	95
n008779	86	51
n006425	79	66
n006425	51	97
n006425	89	59
n006425	72	85
n006425	58	17
n006425	20	44
n006425	23	41
n006425	53	93
n006425	82	45
n006425	78	33
n005896	33	8
n005896	87	4
n005896	46	13
n005896	78	99
n005896	12	49
n005896	31	28
n005896	93	3
n005896	99	55
n005896	3	72
n005896	39	1
n003534	47	79
n003534	18	83
n003534	30	95
n003534	23	5
n003534	43	42
n003534	45	60
n003534	43	83
n003534	14	97
n003534	12	31
n003534	67	22
n001435	8	31
n001435	20	34
n001435	67	68
n001435	94	79
n001435	99	54
n001435	62	32
n001435	74	42
n001435	3	43
n001435	90	53
n001435	7	82
n006280	50	16
n006280	4	79
n006280	44	58
n006280	78	82
n006280	35	56
n006280	52	15
n006280	67	45
n006280	86	59
n006280	16	80
n006280	99	34
n006887	74	98
n006887	3	81
n006887	12	75
n006887	17	77
n006887	26	44
n006887	31	81
n006887	13	40
n006887	58	83
n006887	58	76
n006887	93	8
n003166	67	15
n003166	7	12
n003166	14	39
n003166	29	51
n003166	76	31
n003166	45	7
n003166	97	25
n003166	49	21
n003166	73	81
n003166	5	12
n003354	96	62
n003354	21	84
n003354	80	42
n003354	38	7
n003354	16	100
n003354	99	56
n003354	28	7
n003354	93	81
n003354	68	90
n003354	89	66
n002616	75	1
n002616	87	9
n002616	23	49
n002616	28	3
n002616	77	9
n002616	59	43
n002616	88	80
n002616	74	7
n002616	86	13
n002616	73	37
n003996	24	20
n003996	91	74
n003996	2	72
n003996	40	10
n003996	71	78
n003996	18	69
n003996	61	73
n003996	51	83
n003996	60	41
n003996	22	26
n005434	90	12
n005434	23	59
n005434	11	58
n005434	59	29
n005434	8	3
n005434	54	42
n005434	64	79
n005434	91	14
n005434	41	23
n005434	82	99
n004546	31	3
n004546	15	64
n004546	81	45
n004546	4	19
n004546	3	84
n004546	44	39
n004546	48	98
n004546	53	69
n004546	51	90
n004546	72	89
n008985	69	94
n008985	50	58
n008985	93	54
n008985	72	13
n008985	68	41
n008985	8	8
n008985	43	74
n008985	29	93
n008985	51	21
n008985	53	33
n006216	68	65
n006216	95	96
n006216	78	100
n006216	49	76
n006216	97	21
n006216	55	65
n006216	70	19
n006216	88	2
n006216	88	17
n006216	55	54
n002470	71	31
n002470	76	22
n002470	28	23
n002470	1	16
n002470	34	10
n002470	75	79
n002470	9	18
n002470	51	22
n002470	38	76
n002470	15	36
n003752	13	14
n003752	73	47
n003752	97	23
n003752	43	95
n003752	23	14
n003752	15	90
n003752	70	2
n003752	36	38
n003752	63	83
n003752	75	49
n004577	29	98
n004577	10	21
n004577	50	93
n004577	67	66
n004577	27	41
n004577	40	34
n004577	13	56
n004577	29	94
n004577	28	21
n004577	53	16
n009065	61	47
n009065	88	69
n009065	34	73
n009065	41	89
n009065	89	20
n009065	62	61
n009065	11	11
n009065	30	80
n009065	9	19
n009065	55	12
n008143	99	59
n008143	70	71
n008143	67	99
n008143	5	4
n008143	18	66
n008143	31	40
n008143	13	25
n008143	50	5
n008143	28	94
n008143	29	90
n007937	77	95
n007937	2	96
n007937	6	93
n007937	98	51
n007937	8	67
n007937	99	61
n007937	24	36
n007937	39	86
n007937	52	33
n007937	98	15
n008712	66	18
n008712	37	86
n008712	87	11
n008712	73	20
n008712	1	16
n008712	95	43
n008712	11	89
n008712	7	78
n008712	89	27
n008712	43	38
n002826	54	93
n002826	69	3
n002826	73	45
n002826	11	31
n002826	63	43
n002826	39	57
n002826	21	90
n002826	94	33
n002826	34	18
n002826	95	35
n003558	7	54
n003558	89	72
n003558	37	95
n003558	2	17
n003558	98	70
n003558	78	23
n003558	15	86
n003558	52	8
n003558	98	62
n003558	92	63
n008660	11	9
n008660	50	93
n008660	91	53
n008660	81	89
n008660	65	67
n008660	62	65
n008660	79	77
n008660	39	64
n008660	11	55
n008660	7	54
n008452	74	100
n008452	53	33
n008452	90	18
n008452	99	12
n008452	30	43
n008452	80	85
n008452	83	49
n008452	57	12
n008452	68	76
n008452	13	27
n001183	47	13
n001183	52	26
n001183	7	83
n001183	1	75
n001183	4	5
n001183	97	56
n001183	72	60
n001183	6	30
n001183	31	85
n001183	33	43
n002159	31	5
n002159	9	96
n002159	42	92
n002159	51	8
n002159	61	96
n002159	18	13
n002159	18	49
n002159	85	2
n002159	26	89
n002159	88	62
n004068	60	58
n004068	98	74
n004068	75	22
n004068	8	81
n004068	93	96
n004068	57	2
n004068	94	99
n004068	56	81
n004068	66	3
n004068	76	56
n002166	67	80
n002166	60	4
n002166	8	39
n002166	50	19
n002166	69	63
n002166	2	1
n002166	41	23
n002166	84	23
n002166	9	25
n002166	10	69
n005185	78	6
n005185	15	74
n005185	50	65
n005185	84	83
n005185	65	74
n005185	87	5
n005185	67	80
n005185	67	32
n005185	67	88
n005185	48	54
n000609	68	38
n000609	6	21
n000609	53	50
n000609	81	100
n000609	83	1
n000609	32	62
n000609	42	100
n000609	22	18
n000609	83	78
n000609	27	85
n001710	86	95
n001710	61	51
n001710	8	66
n001710	79	39
n001710	33	75
n001710	72	73
n001710	92	1
n001710	36	17
n001710	93	43
n001710	88	29
n009119	77	70
n009119	77	86
n009119	68	56
n009119	56	66
n009119	79	21
n009119	81	51
n009119	18	65
n009119	70	13
n009119	50	24
n009119	50	91
n001576	21	37
n001576	24	43
n001576	42	4
n001576	1	24
n001576	50	58
n001576	18	84
n001576	6	81
n001576	32	65
n001576	89	34
n001576	26	76
n007478	87	41
n007478	25	92
n007478	78	60
n007478	67	21
n007478	17	72
n007478	34	31
n007478	10	22
n007478	52	90
n007478	31	76
n007478	51	62
n007686	5	40
n007686	46	70
n007686	21	3
n007686	41	64
n007686	8	38
n007686	73	29
n007686	4	72
n007686	19	27
n007686	25	78
n007686	42	44
n001571	45	39
n001571	56	38
n001571	1	71
n001571	81	72
n001571	44	52
n001571	87	32
n001571	50	56
n001571	50	15
n001571	40	49
n001571	46	29
n004663	83	12
n004663	69	38
n004663	100	85
n004663	20	46
n004663	34	72
n004663	79	92
n004663	65	76
n004663	87	55
n004663	93	92
n004663	1	20
n002309	68	98
n002309	32	48
n002309	2	72
n002309	82	84
n002309	79	70
n002309	57	70
n002309	47	25
n002309	33	30
n002309	84	29
n002309	16	29
n002103	51	42
n002103	67	79
n002103	83	23
n002103	25	98
n002103	66	33
n002103	2	19
n002103	66	35
n002103	87	87
n002103	35	14
n002103	30	43
n005326	40	23
n005326	76	91
n005326	53	74
n005326	39	70
n005326	62	79
n005326	78	55
n005326	3	10
n005326	87	17
n005326	44	87
n005326	100	79
n005974	64	43
n005974	51	51
n005974	40	47
n005974	46	22
n005974	86	99
n005974	24	68
n005974	97	34
n005974	1	29
n005974	35	38
n005974	54	71
n007875	61	88
n007875	74	25
n007875	3	61
n007875	91	45
n007875	17	77
n007875	24	81
n007875	24	92
n007875	11	64
n007875	73	34
n007875	69	64
n004638	90	12
n004638	29	97
n004638	15	52
n004638	37	84
n004638	2	95
n004638	100	57
n004638	93	96
n004638	37	7
n004638	93	46
n004638	15	20
n005513	96	30
n005513	94	5
n005513	60	54
n005513	20	92
n005513	50	95
n005513	4	55
n005513	80	26
n005513	36	50
n005513	71	31
n005513	74	41
n009118	42	21
n009118	55	99
n009118	58	84
n009118	17	78
n009118	3	48
n009118	56	71
n009118	1	80
n009118	95	64
n009118	52	92
n009118	43	12
n008805	63	63
n008805	3	36
n008805	50	65
n008805	84	53
n008805	11	54
n008805	22	98
n008805	85	18
n008805	82	43
n008805	67	46
n008805	13	57
n009116	1	36
n009116	41	22
n009116	1	49
n009116	15	67
n009116	92	24
n009116	67	14
n009116	1	49
n009116	54	70
n009116	83	52
n009116	59	68
n008454	84	1
n008454	14	36
n008454	87	67
n008454	79	60
n008454	32	100
n008454	68	84
n008454	75	78
n008454	76	97
n008454	82	91
n008454	53	8
n006353	71	73
n006353	99	59
